dataset,lr,weight_decay,generative_loss_w,keep_ratio,seed,embedding_dim,num_epoch,selflabeling_epcohs,drop_prob,tau,alpha,batch_size,run,subgraph_size,auc_test_rounds,num_workers,negsamp_ratio,device,logdir,pseudotype,score_type,loss_type,global_adg,continue_train,reinit,auc,attribute_auc,structure_auc
Pubmed,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.5,1.0,4096,1,4,256,8,1,0,log/Pubmedcolabs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.9629150319959546,0.9513593485728234,0.974470715419086
Citeseer,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.6,1.0,4096,1,4,256,8,1,0,log/Citeseercolabs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.8675773790787954,0.7529199454411919,0.9822348127163992
ogbn-arxiv,0.001,0.0,0.0,0.95,1,64,20,100,0.0,1.5,1.0,4096,1,4,20,8,1,0,log/ogbn-arxivcolabs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.8604478760440709,0.8695242138730565,0.8513715382150853
Cora,0.001,0.0,0.0,0.95,1,64,100,100,0.0,1.0,1.0,4096,1,4,256,8,1,0,log/Coracolabs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.8909408391972896,0.8424237685691947,0.9394579098253844
Pubmed,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.6,1.0,4096,1,4,256,8,1,0,log/Pubmedcolabs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.959513870725881,0.9467752959843768,0.9722524454673852
ogbn-arxiv,0.001,0.0,0.0,0.95,1,64,20,100,0.0,2.0,1.0,4096,1,4,20,8,1,0,log/ogbn-arxivcolabs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.8488994585014358,0.8555628891351328,0.8422360278677383
Cora,0.001,0.0,0.0,0.95,1,64,100,100,0.0,1.5,1.0,4096,1,4,256,8,1,0,log/Coracolabs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.8856684910086003,0.8378160020849622,0.9335209799322388
Citeseer,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.8,1.0,4096,1,4,256,8,1,0,log/Citeseercolabs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.8762259993704752,0.7690001049207847,0.9834518938201658
Cora,0.001,0.0,0.0,0.95,1,64,100,100,0.0,2.0,1.0,4096,1,4,256,8,1,0,log/Coracolabs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.8879046129788899,0.8490800104248111,0.9267292155329684
Pubmed,0.001,0.0,0.0,0.95,1,64,100,100,0.0,0.8,1.0,4096,1,4,256,8,1,0,log/Pubmedcolabs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.9523114679778903,0.9369364091297449,0.9676865268260364
Citeseer,0.001,0.0,0.0,0.95,1,64,100,100,0.0,1.0,1.0,4096,1,4,256,8,1,0,log/Citeseercolabs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.8804133878921414,0.7793138180673592,0.9815129577169236
ACM,0.0005,0.0,0.0,0.95,1,64,400,100,0.0,0.2,1.0,4096,1,4,256,8,1,0,log/ACMcolabs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.8647237361773724,-1.0,-1.0
Citeseer,0.001,0.0,0.0,0.95,1,64,100,100,0.0,1.5,1.0,4096,1,4,256,8,1,0,log/Citeseercolabs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.8817668660161578,0.7904815864022664,0.9730521456300492
Pubmed,0.001,0.0,0.0,0.95,1,64,100,100,0.0,1.0,1.0,4096,1,4,256,8,1,0,log/Pubmedcolabs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.9481053512580426,0.9297614688497148,0.9664492336663704
Citeseer,0.001,0.0,0.0,0.95,1,64,100,100,0.0,2.0,1.0,4096,1,4,256,8,1,0,log/Citeseercolabs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.8750162627216451,0.7800650508865806,0.9699674745567096
Pubmed,0.001,0.0,0.0,0.95,1,64,100,100,0.0,1.5,1.0,4096,1,4,256,8,1,0,log/Pubmedcolabs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.9343409007689492,0.9087670659622326,0.9599147355756656
Pubmed,0.001,0.0,0.0,0.95,1,64,100,100,0.0,2.0,1.0,4096,1,4,256,8,1,0,log/Pubmedcolabs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.9292224198357484,0.9009525553172568,0.9574922843542396
ACM,0.0005,0.0,0.0,0.95,1,64,400,100,0.0,0.3,1.0,4096,1,4,256,8,1,0,log/ACMcolabs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.8508161545859004,-1.0,-1.0
ACM,0.0005,0.0,0.0,0.95,1,64,400,100,0.0,0.5,1.0,4096,1,4,256,8,1,0,log/ACMcolabs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.8096686618084443,-1.0,-1.0
ACM,0.0005,0.0,0.0,0.95,1,64,400,100,0.0,0.6,1.0,4096,1,4,256,8,1,0,log/ACMcolabs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.7939259883901578,-1.0,-1.0
ACM,0.0005,0.0,0.0,0.95,1,64,400,100,0.0,0.8,1.0,4096,1,4,256,8,1,0,log/ACMcolabs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.7811417613444365,-1.0,-1.0
ACM,0.0005,0.0,0.0,0.95,1,64,400,100,0.0,1.0,1.0,4096,1,4,256,8,1,0,log/ACMcolabs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.7527075380258335,-1.0,-1.0
ACM,0.0005,0.0,0.0,0.95,1,64,400,100,0.0,1.5,1.0,4096,1,4,256,8,1,0,log/ACMcolabs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.7397473930994433,-1.0,-1.0
ACM,0.0005,0.0,0.0,0.95,1,64,400,100,0.0,2.0,1.0,4096,1,4,256,8,1,0,log/ACMcolabs4096infonce_tau=0.2alpah=1.0,pseudo,scorelossfixbatch,infonce,True,False,True,0.7362990441601853,-1.0,-1.0
